Commune,Année,Répartition,Site web des conseils municipaux (une ligne par lien),Type de site
Idaux-Mendy,,Lalie,pas de site web,n/a
Iholdy,,Emilien,pas de site web,n/a
Ilharre,,Emilien,pas de site web,n/a
Irissarry,,Emilien,https://www.irissarry.fr/deliberations.php,page unique avec drop downs 
Irouléguy,,Emilien,pas de site web,n/a
Ispoure,,Emilien,https://www.ispoure.fr/vie-municipale/equipe-municipale/deliberations-du-conseil,"Page unique, documents incomplets"
Isturits,,Emilien,https://www.isturitz.fr/la-mairie/ordres-du-jour-et-compte-rendus/compte-rendu,Page unique avec onglets
Itxassou,,Emilien,https://itxassou.fr/publications/comptes-rendus-de-conseils-municipaux,pagination
Jatxou,,Emilien,https://www.jatxou.fr/la-mairie/deliberations,Page unique
Jaxu,,Emilien,pas de site web,n/a
Juxue,,Emilien,pas de site web,n/a
L'Hôpital-Saint-Blaise,,Emilien,https://www.hopital-saint-blaise.fr/mairie,pas de documents disponibles
La Bastide-Clairence,,Emilien,https://www.labastideclairence.com/la-mairie/deliberations/,page unique
Labets-Biscay,,Emilien,pas de site web,n/a
Lacarre,,Emilien,pas de site web,n/a
Lacarry-Arhan-Charritte-de-Haut,,Emilien,pas de site web,n/a
Laguinge-Restoue,,Emilien,pas de site web,n/a
Lahonce,,Emilien,https://www.lahonce.fr/documents-communaux,page unique
Lantabat,,Emilien,pas de site web,n/a
Larceveau-Arros-Cibits,,Emilien,pas de site web,n/a
Larrau,,Emilien,https://www.larrau.org/au-village/mairie/deliberations-du-conseil/,pas de documents disponibles
Larressore,,Emilien,https://www.larressore.fr/vie-municipale/deliberations,page unique
Larribar-Sorhapuru,,Emilien,pas de site web,n/a
Lasse,,Emilien,pas de site web,n/a
Lecumberry,,Emilien,pas de site web,n/a
Lichans-Sunhar,,Emilien,pas de site web,n/a
Lichos,,Emilien,pas de site web,n/a
Licq-Athérey,,Emilien,pas de site web,n/a
Lohitzun-Oyhercq,,Emilien,pas de site web,n/a
Louhossoa,,Emilien,https://louhossoa.eus/les-deliberations/#1686648507502-daaa5e27-aab4,page unique avec drop downs par conseil (url différent pour chaque drop down)
Luxe-Sumberraute,,Emilien,pas de site web,n/a
Macaye,,Emilien,https://macaye.fr/vie-municipale/#comptesrenduscm,page unique avec drop downs
Masparraute,,Emilien,pas de site web,n/a
Mauléon-Licharre,,Emilien,https://www.mauleon-licharre.fr/les-deliberations,page unique
